NDVI,LST,Hotspot
0.11904339,41.415497,0
0.12971269,48.668518,0
0.14460188,50.541595,0
0.10421573,48.524963,0
0.18472208,46.63138,0
0.16914123,47.557648,0
0.106847204,56.1232,1
0.212708,46.651886,0
0.15029341,47.598663,0
0.23678787,46.439972,0
0.2708014,44.17038,0
0.15626922,45.257324,0
0.18858132,42.082,0
0.088617295,50.808197,0
0.13197744,48.90094,0
0.21246897,47.085968,0
0.18830574,46.621124,0
0.34718463,41.6821,0
0.15668495,47.311554,0
0.060105134,47.007355,0
0.12204689,26.54367,0
0.081705615,45.04883,0
0.108334936,51.69687,0
0.23214789,46.060577,0
0.09590177,47.191925,0
0.15502061,48.251495,0
0.119442664,45.236816,0
0.18472253,49.023987,0
0.11082968,51.724213,0
0.24882422,43.790985,0
0.062308654,50.729584,0
0.14478321,49.246155,0
0.097435586,45.605988,0
0.14455654,51.081635,0
0.11218935,50.43564,0
0.19965564,47.547394,0
0.1064396,51.317474,0
0.10387086,50.134857,0
0.10087731,45.48636,0
0.11718775,54.516754,1
0.082871996,48.384796,0
0.14197966,44.867676,0
0.2576037,45.50345,0
0.15265158,50.391205,0
0.122516096,47.89261,0
0.15179959,51.49521,0
0.2033735,48.521545,0
0.2833077,44.566895,0
0.13610177,49.97763,0
0.10575267,51.143158,0
0.22840995,46.033234,0
0.13372886,51.854095,0
0.16134931,42.45456,0
0.20282523,48.95221,0
0.20616193,43.22702,0
0.16950652,46.002472,0
0.091127425,39.921783,0
0.26855648,45.564972,0
0.13050632,50.274994,0
0.12152287,51.27646,0
0.17921194,49.140198,0
0.14049175,44.443848,0
0.123268284,46.02298,0
0.2183781,46.839874,0
0.12456828,51.368744,0
0.116156995,49.232483,0
0.11986797,53.105103,1
0.17753673,45.527374,0
0.13252397,45.97513,0
0.096914925,50.68515,0
0.16996169,50.07675,0
0.13077188,52.09677,0
0.16781221,48.538635,0
0.19884726,46.01956,0
0.12653865,46.81253,0
0.20535398,49.143616,0
0.1037037,50.71591,0
0.15301429,47.414093,0
0.07274777,50.664642,0
0.28292093,46.303253,0
0.099379495,47.448273,0
0.29420555,42.037567,0
0.124195606,52.5719,1
